partner,arc_id,step,lon,lat,trade_type,stroke_width,exports_usd_bn,imports_usd_bn,balance_usd_bn
"Hong Kong, China","Hong Kong, China",2,109.6053,5.3319,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",3,109.683,5.8795,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",4,109.7607,6.4182,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",5,109.8383,6.9481,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",6,109.916,7.469,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",7,109.9937,7.9811,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",8,110.0713,8.4842,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",9,110.149,8.9785,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",10,110.2267,9.4639,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",11,110.3043,9.9404,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",12,110.382,10.408,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",13,110.4597,10.8667,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",14,110.5373,11.3166,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",15,110.615,11.7575,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",16,110.6927,12.1896,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",17,110.7703,12.6127,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",18,110.848,13.027,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",19,110.9257,13.4324,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",20,111.0033,13.8289,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",21,111.081,14.2165,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",22,111.1587,14.5952,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",23,111.2363,14.9651,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",24,111.314,15.326,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",25,111.3917,15.6781,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",26,111.4693,16.0212,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",27,111.547,16.3555,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",28,111.6247,16.6809,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",29,111.7023,16.9974,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",30,111.78,17.305,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",31,111.8577,17.6037,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",32,111.9353,17.8936,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",33,112.013,18.1745,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",34,112.0907,18.4466,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",35,112.1683,18.7097,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",36,112.246,18.964,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",37,112.3237,19.2094,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",38,112.4013,19.4459,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",39,112.479,19.6735,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",40,112.5567,19.8922,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",41,112.6343,20.1021,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",42,112.712,20.303,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",43,112.7897,20.4951,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",44,112.8673,20.6782,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",45,112.945,20.8525,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",46,113.0227,21.0179,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",47,113.1003,21.1744,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",48,113.178,21.322,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",49,113.2557,21.4607,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",50,113.3333,21.5906,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",51,113.411,21.7115,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",52,113.4887,21.8236,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",53,113.5663,21.9267,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",54,113.644,22.021,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",55,113.7217,22.1064,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",56,113.7993,22.1829,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",57,113.877,22.2505,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",58,113.9547,22.3092,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",59,114.0323,22.3591,Export-heavy,4.17,19.7,3.34,16.36
"Hong Kong, China","Hong Kong, China",60,114.11,22.4,Export-heavy,4.17,19.7,3.34,16.36
Japan,Japan,0,109.45,4.21,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,1,109.93,5.0054,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,2,110.41,5.7919,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,3,110.89,6.5695,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,4,111.37,7.3382,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,5,111.85,8.0981,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,6,112.33,8.849,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,7,112.81,9.5911,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,8,113.29,10.3242,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,9,113.77,11.0485,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,10,114.25,11.7639,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,11,114.73,12.4704,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,12,115.21,13.168,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,13,115.69,13.8567,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,14,116.17,14.5366,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,15,116.65,15.2075,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,16,117.13,15.8696,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,17,117.61,16.5227,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,18,118.09,17.167,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,19,118.57,17.8024,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,20,119.05,18.4289,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,21,119.53,19.0465,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,22,120.01,19.6552,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,23,120.49,20.2551,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,24,120.97,20.846,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,25,121.45,21.4281,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,26,121.93,22.0012,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,27,122.41,22.5655,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,28,122.89,23.1209,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,29,123.37,23.6674,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,30,123.85,24.205,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,31,124.33,24.7337,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,32,124.81,25.2536,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,33,125.29,25.7645,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,34,125.77,26.2666,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,35,126.25,26.7597,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,36,126.73,27.244,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,37,127.21,27.7194,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,38,127.69,28.1859,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,39,128.17,28.6435,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,40,128.65,29.0922,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,41,129.13,29.5321,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,42,129.61,29.963,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,43,130.09,30.3851,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,44,130.57,30.7982,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,45,131.05,31.2025,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,46,131.53,31.5979,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,47,132.01,31.9844,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,48,132.49,32.362,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,49,132.97,32.7307,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,50,133.45,33.0906,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,51,133.93,33.4415,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,52,134.41,33.7836,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,53,134.89,34.1167,Export-heavy,3.98,18.79,15.56,3.24
Japan,Japan,54,135.37,34.441,Export-heavy,3.98,18.79,15.56,3.24
